id,store_name,store_name_gn,store_name_tb,store_name_hp,store_name_retty,store_name_demaekan,store_name_uber,store_name_google,phone_number,area_id
45,"串かつ でんがな 船橋店",,"串かつ でんがな 船橋店",,,,"串かつでんがな 船橋店","串かつ でんがな 西船橋店",047-460-8300,1
46,"シソーノ",,"シソーノ",,,,,,047-403-0011,1
47,"熟成寿司専門店 優雅","熟成寿司 専門店 優雅","熟成寿司専門店 優雅",,,,,,047-460-9212,1
48,"肉バル ワラカド nikubaru Warakado",,"肉バル ワラカド nikubaru Warakado",,,,,"肉と日本酒バル ワラカド 船橋店",047-407-0774,1
49,"自然派ワインとアテ Ｆ",,"自然派ワインとアテ Ｆ","自然派ワインとアテ　Ｆ",,,,,047-425-2361,1
50,"タベルナ カディス",,"タベルナ カディス",,,,,,0474-25-1972,1
51,"将泰庵DINER シャポー船橋店",,"将泰庵DINER シャポー船橋店",,,,,,047-455-3535,1
52,"メソン･バスカ","スペイン料理 メソンバスカ","メソン･バスカ","スペイン料理　メソンバスカ",,,,"スペイン料理 メソンバスカ",047-423-2156,1
53,"ベトナム食堂 フォー・ホア",,"ベトナム食堂 フォー・ホア","ベトナム食堂 フォーホア 船橋",,,,,047-404-7735,1
54,"タイ料理バル チャンカーオ","タイ料理バル チャンカーオ","タイ料理バル チャンカーオ",,,,,,047-406-4788,1
55,"メキシカンバル RICO","メキシカンバル RICO","メキシカンバル RICO","メキシカンバル　RICO　船橋店",,,"メキシカンバル リコ　 Mexican Bar RICO",,047-405-2525,1
56,"個室居酒屋 伊勢や 船橋店",,"個室居酒屋 伊勢や 船橋店",,,,,,047-455-8095,1
57,"七輪焼肉 安安 船橋店","七輪焼肉 安安 船橋店","七輪焼肉 安安 船橋店","七輪焼肉　安安　船橋店",,,,,047-409-9129,1
58,"焼肉ホルモン ほるまさ 船橋店",,"焼肉ホルモン ほるまさ 船橋店",,,,,,047-401-1829,1
59,"蕎や本田",,"蕎や本田",,,,,,047-426-1722,1
60,"焼ジビエ 罠 一目",,"焼ジビエ 罠 一目","焼ジビエ 罠 一目 船橋店",,,,,047-404-8770,1
61,"2000円 食べ放題飲み放題 居酒屋 おすすめ屋 船橋店",,"2000円 食べ放題飲み放題 居酒屋 おすすめ屋 船橋店","2000円 食べ放題飲み放題 居酒屋 おすすめ屋 船橋店",,,,"おすすめ屋 船橋店",03-6734-0874,1
62,"もつ鍋&こだわり36種の黒豚餃子 新味覚餃子酒場 盛 船橋駅前本店",,"もつ鍋&こだわり36種の黒豚餃子 新味覚餃子酒場 盛 船橋駅前本店","【もつ鍋&こだわり36種の黒豚餃子】新味覚餃子酒場 盛～SA・KA・RI～船橋駅前本店",,,,"もつ鍋＆こだわりの黒豚餃子 新味覚餃子酒場 盛 船橋店",047-409-8400,1
63,"菜厨瑠",,"菜厨瑠",,,,,,047-423-3841,1
64,"居酒屋 ちょいちょい 船橋店",,"居酒屋 ちょいちょい 船橋店","居酒屋　ちょいちょい　船橋店",,,,"居酒屋 ちょいちょい 船橋店",047-432-0600,1
65,"こだわりもん 一家 津田沼店",,"こだわりもん 一家 津田沼店",,,,,,047-470-3535,1
66,"津田沼 肉寿司",,"津田沼 肉寿司",,,,,,047-407-3009,1
67,"今日和 船橋店",,"今日和 船橋店",,,,,,047-420-2266,1
68,"壱岐家 西船橋店",,"壱岐家 西船橋店",,,,,"壱岐家 西船橋店",047-779-1826,1
69,"coma 西船橋店",,"coma 西船橋店",,,,,,047-401-5285,1
70,"肉の匠 将泰庵 船橋はなれ店",,"肉の匠 将泰庵 船橋はなれ店",,,,,,047-409-6677,1
71,"大衆ホルモン タツ屋 船橋店",,"大衆ホルモン タツ屋 船橋店",,,,,"タツ屋 船橋店",047-424-8929,1
72,"大衆ホルモン タツ屋 西船橋店",,"大衆ホルモン タツ屋 西船橋店",,,,,"大衆ホルモン タツ屋 西船橋店",047-437-8929,1
73,"くすお 西船橋店",,"くすお 西船橋店",,,,,"九州旨かもん 旨か酒 くすお 西船橋店",050-5266-0392,1
74,"韓国家庭料理ジャンモ 津田沼パルコ店","チーズタッカルビ×サムギョプサル ジャンモ 津田沼パルコ店","韓国家庭料理ジャンモ 津田沼パルコ店",,,,,,047-477-9107,1
75,"こだわりもん 一家 西船橋店",,"こだわりもん 一家 西船橋店",,,,,"こだわりもん一家 西船橋店",050-1705-4662,1
76,"焼肉 牛者",,"焼肉 牛者",,,,,,047-429-8823,1
77,"焼鳥酒場 本田商店 津田沼本店",,"焼鳥酒場 本田商店 津田沼本店",,,,,,047-409-9255,1
78,"やきとりの扇屋 西船橋店",,"やきとりの扇屋 西船橋店",,,,,,047-495-5603,1
79,"鶏のジョージ 船橋南口駅前店",,"鶏のジョージ 船橋南口駅前店",,,,"鶏のジョージ 船橋南口駅前店","鶏のジョージ 船橋南口駅前店",047-421-0488,1
80,"魚unLOC",,"魚unLOC",,,,,,047-421-5560,1
81,"音波 船橋店","音波 OTOHA 船橋店","音波 船橋店","音波　船橋店",,,,,047-431-3931,1
82,"日本料理 魚つぐ",,"日本料理 魚つぐ",,,,,,047-461-6161,1
83,"船橋ワイン食堂 862","船橋 ワイン食堂 862","船橋ワイン食堂 862",,,,,,047-407-3300,1
84,"肉バルYAMATO 船橋店",,"肉バルYAMATO 船橋店","肉バル　YAMATO 船橋店",,,,,047-432-5050,1
85,"魚市場直送 魚屋十番",,"魚市場直送 魚屋十番",,,,,"魚屋十番",047-431-3377,1
86,"モンスーンカフェ ららぽーとTOKYO-BAY",,"モンスーンカフェ ららぽーとTOKYO-BAY",,,,"モンスーンカフェららぽーとTOKYO-BAY",,047-421-7311,1
87,"Garage Kitchen あそび","西船橋 Garage Kitchen あそび","Garage Kitchen あそび",,,,"【ピザ・パエリア】Garage Kitchen あそび","Garage Kitchen あそび",047-431-5567,1
88,"いづみ屋",,"いづみ屋",,,,,"いづみ屋",047-424-2448,1
89,"チーズ&ワイン mu-ku",,"チーズ&ワイン mu-ku",,,,,,047-426-6909,1
90,"割烹 源",,"割烹 源",,,,,,047-404-8811,1
91,963,,963,,,,,,047-498-9006,1
92,sakunanapan,,sakunanapan,,,,,,080-5415-2966,1
93,"焼鳥 大富",,"焼鳥 大富",,,,,,047-431-7798,1
94,"拉麺阿修羅",,"拉麺阿修羅",,,,,,047-431-1760,1
95,"YAKITORIバル OTTO",,"YAKITORIバル OTTO",,,,,,047-779-0677,1
96,"BAR HOP",,"BAR HOP",,,,,,047-460-5660,1
97,"大衆酒場 一郎",,"大衆酒場 一郎",,,,,"大衆酒場一郎",047-401-5522,1
98,"立呑み　次郎",,"立呑み　次郎",,,,,"立呑み 次郎",047-460-4887,1
99,"Wine＆Cafe Bistro Carlo","Wine＆Cafe Bistro Carlo","Wine＆Cafe Bistro Carlo",,,,,,047-401-8811,1
100,"嘉祥",,"嘉祥",,,,,,047-434-5335,1
101,"ふなばし　稲荷屋","日本料理 ふなばし 稲荷屋","ふなばし　稲荷屋",,,,,,047-433-3131,1
102,"やどかり",,"やどかり",,,,,"居酒屋やどかり",047-423-7107,1
103,"フォンドBOO",,"フォンドBOO",,,,,,047-318-2914,1
104,"百花亭",,"百花亭",,,,,"百花亭",0474-34-7869,1
105,"中華料理 香満園",,"中華料理 香満園",,,,,,047-409-7772,1
106,"千葉ビール園",,"千葉ビール園",,,,,,047-436-4388,1
107,Gasse,,Gasse,,,,,,047-411-4319,1
108,"串焼旬菜食堂 うっとり 北習志野店",,"串焼旬菜食堂 うっとり 北習志野店",,,,,,047-496-0056,1
109,"串焼き 小野田",,"串焼き 小野田",,,,,,047-307-9832,1
110,"土風炉 船橋店","土風炉 船橋店","土風炉 船橋店","土風炉 船橋店",,,"土風炉 船橋","土風炉 船橋店",047-460-7707,1
111,"秀吉のそうめん",,"秀吉のそうめん",,,,,,047-411-9582,1
112,"風の子",,"風の子",,,,,"風の子",047-436-1388,1
113,"活魚 なべしま","活魚 なべしま","活魚 なべしま",,,,,,047-424-1717,1
114,NOBU,,NOBU,"NOBU船橋店",,,,,047-409-5502,1
115,"宮崎県日南市　塚田農場 船橋店",,"宮崎県日南市　塚田農場 船橋店","宮崎県日南市　塚田農場　船橋店",,,,"宮崎県日南市 塚田農場 船橋店",047-460-6066,1
116,"山内農場 船橋南口駅前店",,"山内農場 船橋南口駅前店","山内農場　船橋南口駅前店",,,"山内農場 船橋南口駅前店","山内農場 西船橋北口駅前店",047-433-8788,1
117,"海鮮や　まる久",,"海鮮や　まる久",,,,,,047-461-0909,1
118,"ごちそう個室バル酒場 たまて箱 船橋店","ごちそう個室バル酒場 たまて箱 船橋店","ごちそう個室バル酒場 たまて箱 船橋店","ごちそう個室バル酒場 たまて箱 船橋店",,,,"ごちそう個室バル酒場 たまて箱 船橋店",03-4567-6622,1
119,"骨付地鳥炭焼 日向","骨付地鳥炭焼 日向 船橋店","骨付地鳥炭焼 日向",,,,,,047-401-3133,1
120,"九州魂 京成船橋",,"九州魂 京成船橋","九州魂　京成船橋店",,,"九州魂 京成船橋","九州魂 京成船橋店",047-460-1211,1
121,"サンドイッチハウス メルヘン 東武船橋店",,"サンドイッチハウス メルヘン 東武船橋店",,,,,,047-426-6365,1
122,"ばんから",,"ばんから",,,,,"ばんから",047-437-3733,1
123,"おおつか",,"おおつか",,,,,,047-455-4750,1
124,"びっくりドンキー 船橋芝山店",,"びっくりドンキー 船橋芝山店",,,,,,047-467-1411,1
125,"舎鈴 イオンモール船橋店",,"舎鈴 イオンモール船橋店",,,,,,047-404-6080,1
126,"ラーメンショップ 花輪店",,"ラーメンショップ 花輪店",,,,,,047-422-4550,1
127,"竹亭",,"竹亭",,,,,,047-432-1165,1
128,"山本炭焼店",,"山本炭焼店",,,,,,047-463-6223,1
129,"夏見屋",,"夏見屋",,,,,,047-334-6233,1
130,"山田うどん 船橋米ヶ崎店",,"山田うどん 船橋米ヶ崎店",,,,,,047-421-3173,1
131,"カンティーナ イル グッフォ",,"カンティーナ イル グッフォ",,,,,,047-409-5500,1
132,"麺屋翼",,"麺屋翼",,,,,,047-335-7967,1
133,"British Pub＆Foods ARROWS",,"British Pub＆Foods ARROWS",,,,,,047-421-4777,1
134,"ぞうさんカレー",,"ぞうさんカレー",,,,,,047-439-6431,1
135,"新宿高野 船橋東武店",,"新宿高野 船橋東武店",,,,,,047-422-9595,1
136,"うなぎや",,"うなぎや",,,,,,047-431-2620,1
137,"サイゼリヤ ビビット南船橋店",,"サイゼリヤ ビビット南船橋店",,,,,,047-495-2400,1
138,"ドトールコーヒーショップ 西船橋南口店",,"ドトールコーヒーショップ 西船橋南口店",,,,,,047-460-8522,1
139,"大とら",,"大とら",,,,,"大とら",047-425-5434,1
140,"美食府",,"美食府",,,,,,047-476-6388,1
141,"100時間カレーExpress ららぽーと東京ベイ店",,"100時間カレーExpress ららぽーと東京ベイ店",,,,,,047-421-7647,1
142,"ピザヨッカー 船橋店",,"ピザヨッカー 船橋店",,,,,,047-425-3788,1
143,"HUB 船橋店",,"HUB 船橋店","HUB 船橋店",,,,,047-460-8682,1
144,"祐ちゃんﾗｰﾒﾝ綾ちゃんｷﾞｮｰｻﾞ",,"祐ちゃんﾗｰﾒﾝ綾ちゃんｷﾞｮｰｻﾞ",,,,,,047-422-6848,1
145,"ヒムツリ Himutsuri",,"ヒムツリ Himutsuri",,,,"ヒムツリ Himutsuri",,047-406-5766,1
146,"フレンチバル セレナ",,"フレンチバル セレナ","French Bar Serene　（フレンチ　バル　セレナ）　船橋",,,,,047-497-8668,1
147,"むさしや",,"むさしや",,,,,,047-466-6491,1
148,"五穀 船橋店",,"五穀 船橋店",,,,,,047-420-7571,1
149,"さくら水産 船橋南口店",,"さくら水産 船橋南口店",,,,,"海産物居酒屋 さくら水産 船橋南口店",047-460-2551,1
150,"佐久間あいすくりーむ工房",,"佐久間あいすくりーむ工房",,,,,,047-448-7806,1
151,"モ～・TON！ 船橋駅前店","しゃぶしゃぶ・すき焼き食べ放題 モ～・TON！ 船橋駅前店","モ～・TON！ 船橋駅前店","【船橋駅徒歩1分】焼肉・しゃぶしゃぶ・すき焼き　モ～・TON！　船橋駅前店",,,,"モ〜・TON！ 船橋駅前店",047-422-7747,1
152,"Boulangerie Queue",,"Boulangerie Queue",,,,,,047-497-8340,1
153,"フナバシ屋",,"フナバシ屋",,,,"フナバシ屋 Funabashiya","酒場 フナバシ屋",047-437-0007,1
154,"天空の風 Chinese Dining",,"天空の風 Chinese Dining",,,,,"天空の風 Chinese Dining（テンクウノカゼ・チャイニーズダイニング）",047-429-0005,1
155,"ピーターパン 石窯パン工房店",,"ピーターパン 石窯パン工房店",,,,"ピーターパン 石窯パン工房店 Pi-ta-pan ishigamapankoubou",,047-410-1021,1
156,"習志野飯店",,"習志野飯店",,,,,,047-466-5353,1
157,"まぐろLabo",,"まぐろLabo",,,,,,047-495-0077,1
158,"パティスリーラパン",,"パティスリーラパン",,,,,,047-462-4030,1
159,"煮干し中華そば 成る魚",,"煮干し中華そば 成る魚",,,,,,"不明の為情報お待ちしております",1
160,"金魚屋",,"金魚屋",,,,,"金魚屋",047-426-3545,1
161,"伝丸　 薬円台店",,"伝丸　 薬円台店",,,,,,"非公開",1
162,"東大門",,"東大門",,,,,,047-425-8007,1
163,"千人力",,"千人力",,,,,,047-422-5290,1
164,"すし屋のらーめん 吉祥",,"すし屋のらーめん 吉祥",,,,,,"不明の為情報お待ちしております",1
165,"熱烈中華 味一番 ネクスト船橋店",,"熱烈中華 味一番 ネクスト船橋店",,,,,,047-410-2355,1
166,"地中海バール＆グリル　イタマル 船橋 裏通り店",,"地中海バール＆グリル　イタマル 船橋 裏通り店",,,,,,047-481-8847,1
167,"ハースブラウン 船橋店",,"ハースブラウン 船橋店",,,,,,047-460-8200,1
168,"とものもと",,"とものもと",,,,,,047-779-4672,1
169,"からやま 船橋市場通り店",,"からやま 船橋市場通り店",,,,,,047-456-8444,1
170,"おむす人 原木中山店",,"おむす人 原木中山店",,,,,,047-334-7153,1
171,"トレボンマリアージュ",,"トレボンマリアージュ",,,,,,047-411-7349,1
172,"羊々亭",,"羊々亭","羊々亭　船橋店",,,,,047-456-8566,1
173,"焼々",,"焼々",,,,,,047-423-0991,1
174,"福徳食堂",,"福徳食堂",,,,,,047-333-9870,1
175,"モグモグ亭",,"モグモグ亭",,,,,,047-430-2299,1
176,"BECK'S COFFEE SHOP 南船橋店",,"BECK'S COFFEE SHOP 南船橋店",,,,,,047-495-5709,1
177,"ビーンズハウス",,"ビーンズハウス",,,,,,047-434-4099,1
178,"MA-なべや 津田沼店","個室・しゃぶしゃぶ食べ放題 ＭＡ～なべや 津田沼店","MA-なべや 津田沼店",,,,,,047-470-1400,1
179,"なか卯 船橋前原東店",,"なか卯 船橋前原東店",,,,,,"非公開",1
180,"ラーメン無限大 津田沼店",,"ラーメン無限大 津田沼店",,,,,,047-474-4287,1
181,"アンリ・シャルパンティエ 船橋東武店",,"アンリ・シャルパンティエ 船橋東武店",,,,,,047-411-0678,1
182,"駅そば 菜の花そば ペリエ西船橋店",,"駅そば 菜の花そば ペリエ西船橋店",,,,,,047-495-5177,1
183,"亀戸らぁ麺 零や 船橋店",,"亀戸らぁ麺 零や 船橋店","亀戸らぁ麺　零や　船橋店",,,,,047-422-3322,1
184,"エディーズ・ブレッド ペリエ西船橋店",,"エディーズ・ブレッド ペリエ西船橋店",,,,,,047-433-0190,1
185,"三代目麺処まるは極",,"三代目麺処まるは極",,,,,,047-424-0022,1
186,"麺処 ゆきち",,"麺処 ゆきち",,,,,,047-407-2739,1
187,"魚菜だんらん食堂 船橋宮本店",,"魚菜だんらん食堂 船橋宮本店",,,,,,047-436-4333,1
188,"木曽路 船橋店",,"木曽路 船橋店",,,,,,047-426-9101,1
189,"マクドナルド 津田沼駅前店",,"マクドナルド 津田沼駅前店",,,,,,047-475-1330,1
190,"一茶庵 三山店",,"一茶庵 三山店",,,,,,047-473-3033,1
191,"すし処ひしの木",,"すし処ひしの木",,,,,,047-421-6111,1
192,"インドカレー MILAN 船橋店",,"インドカレー MILAN 船橋店","インドカレ-MILAN -ミラン-　船橋店",,,,,047-424-1003,1
193,"ル ビアン シャポー船橋店",,"ル ビアン シャポー船橋店",,,,,,048-407-0131,1
194,"ゆで太郎 船橋南口店",,"ゆで太郎 船橋南口店",,,,,,"非公開",1
195,"妙典 ワインバル 134",,"妙典 ワインバル 134",,,,,,047-712-8980,2
196,"焼肉ここから 本八幡店",,"焼肉ここから 本八幡店",,,,,,047-711-3123,2
197,"diningcafe jiorno89",,"diningcafe jiorno89",,,,,,047-303-3330,2
198,"すずなり",,"すずなり",,,,,,047-326-5011,2
199,"妙典 彦酉",,"妙典 彦酉",,,,,,047-702-5333,2
200,"旬のおごちどころ たまや",,"旬のおごちどころ たまや",,,,,"旬のおごちどころ たまや",047-321-1217,2
201,"黒毛和牛一頭買い 焼肉行徳苑",,"黒毛和牛一頭買い 焼肉行徳苑",,,,,,047-314-5544,2
202,"伊酒屋食堂KenKen",,"伊酒屋食堂KenKen",,,,,,047-377-7996,2
203,"市川 おいどん",,"市川 おいどん",,,,,,047-329-1505,2
204,"日本酒バル ポン○",,"日本酒バル ポン○",,,,,,050-3154-0552,2
205,"魚料理・もつ鍋 山咲き",,"魚料理・もつ鍋 山咲き",,,,,,047-377-3057,2
206,"ハーレーパーク",,"ハーレーパーク",,,,,,047-377-1992,2
207,"浅草焼肉ホルモン みらく",,"浅草焼肉ホルモン みらく",,,,,,047-311-4196,2
208,"エレファントハウス",,"エレファントハウス",,,,"エレファントハウス ELEPHANT HOUSE",,047-711-0141,2
209,"ルナ",,"ルナ",,,,,,047-712-6552,2
210,"安安 市川店",,"安安 市川店",,,,,,047-329-3129,2
211,"個室居酒屋 なごみ 本八幡店",,"個室居酒屋 なごみ 本八幡店",,,,,,080-1149-7676,2
212,"ルミエール",,"ルミエール",,,,,,047-369-6616,2
213,"こだわりもん 一家 本八幡店",,"こだわりもん 一家 本八幡店",,,,,"こだわりもん 一家 本八幡店",050-1705-4653,2
214,"炭火焼肉　きっちょう",,"炭火焼肉　きっちょう",,,,,,047-329-2919,2
215,"大衆ホルモン タツ屋 南行徳店",,"大衆ホルモン タツ屋 南行徳店",,,,,,047-396-8929,2
216,"Korean Dining テジテジ",,"Korean Dining テジテジ",,,,"テジテジ Korean Dining TejiTeji",,047-316-2910,2
217,"やきとりの扇屋 南行徳店",,"やきとりの扇屋 南行徳店",,,,,,047-701-6316,2
218,"イタリアン＆ワインバー CONA 市川店",,"イタリアン＆ワインバー CONA 市川店",,,,,,047-321-3422,2
219,"手打ち蕎麦 安田",,"手打ち蕎麦 安田",,,,,,047-323-6654,2
220,"ぼちぼち 本八幡駅前店",,"ぼちぼち 本八幡駅前店",,,,,,047-320-4855,2
221,"牛角ビュッフェ 市川コルトンプラザ店",,"牛角ビュッフェ 市川コルトンプラザ店",,,,"牛角ビュッフェ 市川コルトンプラザ店 Gyukaku Buffet Ichikawa Colton Plaza",,047-318-2329,2
222,"IZAKAYA 眞",,"IZAKAYA 眞",,,,,,047-316-2139,2
223,"The O.C",,"The O.C",,,,,,047-314-5757,2
224,"てづくし料理茶房 よし坊",,"てづくし料理茶房 よし坊",,,,,,047-374-3363,2
225,"長福",,"長福",,,,,,047-370-9777,2
226,"鉄板焼き 新",,"鉄板焼き 新",,,,,,047-370-9777,2
227,"カフェテリア サスケーズ",,"カフェテリア サスケーズ",,,,,,047-712-2272,2
228,"ろぉしゃん",,"ろぉしゃん",,,,,,047-373-7733,2
229,"マルシェ",,"マルシェ",,,,,,047-323-3381,2
230,"とみ山",,"とみ山",,,,,,047-329-2521,2
231,"のぼる",,"のぼる",,,,,,047-321-4958,2
232,"山内農場 市川北口駅前店",,"山内農場 市川北口駅前店",,,,"山内農場 市川北口駅前店",,047-324-8388,2
233,"心込",,"心込",,,,,,047-711-1429,2
234,"マーケットレストランAGIO 市川店",,"マーケットレストランAGIO 市川店",,,,,,047-379-3371,2
235,"水炊き・焼き鳥 とりいちず酒場 市川店",,"水炊き・焼き鳥 とりいちず酒場 市川店",,,,,,047-702-8972,2
236,"アティティ",,"アティティ",,,,,,047-377-6878,2
237,"味処きまっし 南八幡店",,"味処きまっし 南八幡店",,,,,"味処きまっし 南八幡店",050-5461-7046,2
238,"フレンチ大衆食堂 ボッチ",,"フレンチ大衆食堂 ボッチ",,,,,,047-316-2404,2
239,"ラ　アーニー マリス",,"ラ　アーニー マリス",,,,,,047-377-8600,2
240,"目利きの銀次 行徳駅前店",,"目利きの銀次 行徳駅前店",,,,,,047-395-4288,2
241,"プウホヌア",,"プウホヌア",,,,,,047-374-3670,2
242,"Patisserie ＆Restaurant Amour 原木中山店",,"Patisserie ＆Restaurant Amour 原木中山店",,,,,,047-711-2211,2
243,"マリノステリア 本八幡店",,"マリノステリア 本八幡店",,,,,,047-712-6006,2
244,"焼肉家族 市川店",,"焼肉家族 市川店",,,,,,047-712-7540,2
245,"くいもの屋 わん 市川北口店",,"くいもの屋 わん 市川北口店",,,,,,047-704-1166,2
246,"プリンス 行徳店",,"プリンス 行徳店",,,,,,047-727-7823,2
